budget,keywords,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,vote_count,director,main_genre_top10,opinion
70000000,budapest kidnapping boxer secret agent liberation of hostage,en,I Spy,"When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers.",13.267631,2002-10-31,33561137,97.0,Released,269,Betty Thomas,Action,0
7,flooding futuristic police detective,en,Split Second,"In a futuristic London, the rising sea levels mean that large areas are under feet of water. Hauer plays a cop who previously lost his partner to some strange creature. Now the creature is back and its after him.",4.857028,1992-05-01,5,90.0,Released,63,Tony Maylam,Thriller,0
14000000,college suspense gossip rumor social experiment,en,Gossip,"On a beautiful college campus, something ugly is about to be spread around. A bit of gossip that was told is starting to take a frightening turn. Who could it have offended and how far will the person on the other side of the gossip handle the embarrassing situation.",5.833687,2000-04-21,5108820,90.0,Released,68,Davis Guggenheim,Drama,0
15000000,barcelona spain menage a trois author,en,Vicky Cristina Barcelona,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",32.758254,2008-08-15,96408652,96.0,Released,1020,Woody Allen,Drama,1
250000000,witch magic broom school of witchcraft wizardry,en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,2009-07-07,933959197,153.0,Released,5293,David Yates,Adventure,1
70000000,saving the world predator laserpointer space marine pyramid,en,AVP: Alien vs. Predator,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",42.957216,2004-08-12,171183863,101.0,Released,1217,Paul W.S. Anderson,Adventure,0
9000000,politics suspense,en,The Contender,"Political thriller about Laine Hanson's nomination and confirmation as Vice President. An allegation that she was involved in a sexual orgy at the age of 19 is leaked to the press. As pressure mounts on Laine, she's torn between fighting back or sticking to her principles and refusing to comment on the allegations.",7.029126,2000-10-13,0,126.0,Released,60,Rod Lurie,Drama,1
55000000,cia airport cat jew orderly,en,Meet the Parents,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",29.97224000000001,2000-10-06,330444045,108.0,Released,1698,Jay Roach,Comedy,1
17000000,interracial relationship dead father reference to bob dylan biracial bedtime story,en,Away We Go,"Verona and Burt have moved to Colorado to be close to Burt's parents but, with Veronica expecting their first child, Burt’s parents decide to move to Belgium, now leaving them in a place they hate and without a support structure in place. They set off on a whirlwind tour of of disparate locations where they have friends or relatives, sampling not only different cities and climates but also different families. Along the way they realize that the journey is less about discovering where they want to live and more about figuring out what type of parents they want to be.",10.13559,2009-06-05,14899417,98.0,Released,189,Sam Mendes,Drama,1
2500000,virtual reality dystopia moral conflict computer loneliness,en,Sleep Dealer,"Set in a near-future, militarized world marked by closed borders, virtual labor and a global digital network that joins minds and experiences, three strangers risk their lives to connect with each other and break the barriers of technology.",4.624691,2008-12-10,107559,90.0,Released,40,Alex Rivera,Drama,0
